lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
ru,2003,12,38,2585.37924449725,2705.85320448198,61,365
ru,2004,1,57,6324.75406157172,6289.33287581012,75,195
ru,2004,2,78,3919.40513176528,4611.07982713176,102,661
ru,2004,3,67,2659.48429351236,2744.66433923109,96,452
ru,2004,4,43,2789.38097244094,3622.58811350291,63,217
ru,2004,5,37,3645.88289844037,3839.06134399514,45,815
ru,2004,6,25,4697.84127788586,4611.57973389843,29,1238
ru,2004,7,40,4272.57380913624,4847.5019257899,60,291
ru,2004,8,49,4118.73689907858,3876.07652015733,68,1201
ru,2004,9,74,2095.18590933504,2643.45141216461,109,346
ru,2004,10,134,3322.25156568376,3483.740373128,182,682
ru,2004,11,79,3163.70958210323,3355.73798975857,98,752
ru,2004,12,142,3078.7544069993,3062.41569026763,169,678
ru,2005,1,133,2575.63636045113,2708.26332936898,186,504
ru,2005,2,106,2554.98990548944,3093.97697206326,165,287
ru,2005,3,148,2790.91635706622,2716.39521619978,201,777
ru,2005,4,246,3167.49626122898,3909.73077549624,453,568
ru,2005,5,245,2004.32637169329,2692.06417332492,589,12
ru,2005,6,236,2853.11774189084,3116.67675738787,396,994
ru,2005,7,300,3395.1192812694,3149.18049953632,484,658
ru,2005,8,590,4100.1341835896,4411.30318717291,962,919
ru,2005,9,382,3073.27132283401,3833.82782281246,653,697
ru,2005,10,505,3778.03949249492,3905.70053282954,668,320
ru,2005,11,467,3219.18885773036,3495.79806129988,656,428
ru,2005,12,536,3229.61434598199,3687.27983706373,835,325
ru,2006,1,907,3024.04310592327,3185.58375047808,1425,797
ru,2006,2,646,3163.69944905227,3486.29529072285,988,1365
ru,2006,3,754,2736.12398154256,3105.80163096469,1192,525
ru,2006,4,739,2602.39035694763,3091.61792662263,1189,652
ru,2006,5,776,2922.05776911158,2998.0738143478,1281,1262
ru,2006,6,751,2436.41590819878,2740.92339477128,1329,885
ru,2006,7,745,2698.88816846237,3198.10345230821,1307,557
ru,2006,8,883,2595.77623497231,2930.03216234499,1713,1045
ru,2006,9,796,2921.60809928619,2971.59396939734,1303,601
ru,2006,10,947,2662.3174252732,2960.80633400981,1608,272
ru,2006,11,931,2565.61873624059,2925.70548244373,1618,1338
ru,2006,12,1139,2413.37588748404,2931.85745723118,2140,266
ru,2007,1,1242,2579.11586948412,2846.23086449017,2173,60
ru,2007,2,1122,2718.8981808488,2903.75718971378,2035,1101
ru,2007,3,2277,3765.59823663881,4819.90710346244,3526,94
ru,2007,4,1966,3429.26192685573,4064.78563686075,3238,41
ru,2007,5,2042,2636.1696903545,3022.29322428364,3461,605
ru,2007,6,1741,3032.32225542886,2750.37210385134,3215,408
ru,2007,7,1884,2896.45892468315,2837.05295796838,3385,1289
ru,2007,8,1694,2659.80197114507,2758.71287154663,3029,1321
ru,2007,9,1759,2765.8561036593,2730.85262295849,3139,134
ru,2007,10,2136,2178.77669299352,2510.80669998181,3678,1082
ru,2007,11,2114,2352.23011157813,2665.04449921538,3757,998
ru,2007,12,2077,2187.82608888429,2612.66187592415,3754,1079
ru,2008,1,3121,3055.87719795555,3739.83620995266,5139,894
ru,2008,2,2419,2274.61232868714,2665.46833459024,4559,1304
ru,2008,3,2871,2495.92664332592,3121.40696962931,5207,1009
ru,2008,4,2772,2311.56793105424,2786.69674549956,5345,830
ru,2008,5,2880,2442.24223574253,2885.83680783117,5256,258
ru,2008,6,2373,1980.73308470794,2502.75620958649,4494,788
ru,2008,7,2432,1933.58879849456,2455.33554602386,4759,1114
ru,2008,8,1038,1881.86211700064,2208.43166582851,1969,480
sk,2004,1,3,799.237241969887,799.237241969887,3,1175
sk,2004,2,2,500.689317147156,457.722461430732,3,1110
sk,2004,4,4,933.919928584714,906.144565342559,5,1159
sk,2004,5,4,472.154390799569,472.154390799569,4,624
sk,2004,6,6,1323.93388704208,831.987986196065,10,444
sk,2004,7,6,869.78587157334,1527.72159852279,11,158
sk,2004,8,3,5107.34685798552,3955.91654186202,6,168
sk,2004,9,15,4199.81492859732,3311.54746604994,18,1274
sk,2004,10,13,1026.38711769248,1274.27031500122,18,1058
sk,2004,11,18,1684.78999969067,2160.54238282729,24,977
sk,2004,12,24,1994.17931995271,2989.90265850386,37,1054
sk,2005,1,25,1627.01674327352,2244.90295849632,49,883
sk,2005,2,9,1932.01053014376,2266.10894375497,16,1296
sk,2005,3,33,2651.04973516697,3624.81120402784,54,999
sk,2005,4,41,4344.86791222891,4405.29558082756,48,832
sk,2005,5,54,3095.21261555815,3230.52301491161,97,256
